Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric",115.225000,-62.300000,0.000000,top
"C2","22u","C_0805_2012Metric",120.325000,-68.000000,90.000000,top
"C3","10u","C_0603_1608Metric",103.445000,-51.500000,0.000000,top
"C4","100n","C_0402_1005Metric",99.945000,-56.200000,90.000000,top
"C5","100n","C_0402_1005Metric",103.395000,-53.300000,0.000000,top
"C6","100n","C_0402_1005Metric",112.145000,-57.000000,-90.000000,top
"C7","100n","C_0402_1005Metric",108.725000,-65.400000,180.000000,top
"C8","10n","C_0402_1005Metric",99.945000,-60.500000,90.000000,top
"C9","1u","C_0402_1005Metric",99.045000,-63.900000,180.000000,top
"C10","1u","C_0402_1005Metric",99.045000,-65.500000,180.000000,top
"C11","100n","C_0402_1005Metric",103.100000,-65.600000,0.000000,top
"C12","10p","C_0402_1005Metric",97.345000,-57.700000,90.000000,top
"C13","10p","C_0402_1005Metric",97.345000,-59.700000,90.000000,top
"D1","RED","LED_0603_1608Metric",123.025000,-68.200000,-90.000000,top
"FB1","120R","L_0603_1608Metric",100.945000,-64.700000,-90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",122.425000,-58.200000,90.000000,top
"J2","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",103.605000,-47.500000,-90.000000,top
"J3","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",116.925000,-47.500000,-90.000000,top
"J4","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",100.325000,-72.600000,90.000000,top
"R1","1k5","R_0402_1005Metric",122.525000,-64.600000,180.000000,top
"R2","10k","R_0402_1005Metric",92.600000,-52.025000,90.000000,top
"R3","1k5","R_0402_1005Metric",115.500000,-57.625000,-90.000000,top
"R4","1k5","R_0402_1005Metric",103.225000,-68.500000,180.000000,top
"R5","1k5","R_0402_1005Metric",105.225000,-68.500000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",88.100000,-56.100000,-90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",115.125000,-68.100000,-90.000000,top
"U2","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",105.945000,-59.500000,0.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",94.745000,-58.600000,-90.000000,top
